gender,age
Male,38
Male,51
Female,79
Female,80
Female,39
Female,30
Female,33
Male,29
Female,22
Female,59
Female,61
Female,46
Female,39
Male,72
Female,55
Male,51
Female,23
Female,55
NA,NA
Male,53
Male,59
Transgender,61
Male,33
Male,27
Female,25
Male,65
Female,55
Male,25
Male,61
Male,77
Male,67
Male,NA
Female,27
Female,50
Male,72
Male,71
Female,56
Female,35
Female,72
Male,35
Male,46
Male,28
Male,32
Male,32
Female,43
Female,34
Female,47
Female,59
Male,NA
Male,NA
Male,46
Female,69
Female,62
Female,55
NA,NA
Female,78
Female,72
Female,71
Female,85
Male,76
Male,35
Female,54
Male,28
Female,77
Male,69
Male,77
Female,60
Female,NA
NA,NA
Female,75
Male,43
Male,75
Female,76
Female,31
Male,47
Male,48
Female,NA
Female,38
Female,23
Female,31
Male,47
Male,89
Male,60
Male,89
Male,53
Male,62
Female,60
Female,54
Female,73
Female,25
Female,42
Female,49
Female,37
Female,30
Female,67
Female,37
Male,26
Male,55
Female,70
Female,NA
Male,32
Male,33
Female,38
Female,42
Female,68
Male,70
Female,67
Male,89
Male,49
Male,57
Female,25
Female,68
Female,65
Female,NA
Female,58
Female,66
NA,NA
Male,67
Female,55
Female,57
NA,NA
Male,64
Male,55
Female,39
Female,27
Male,27
Female,81
Female,57
Female,42
Female,56
Female,55
Female,30
Female,22
Female,51
Female,65
Female,57
Male,79
Female,52
Male,73
Female,78
Male,38
Female,45
Female,NA
Female,28
Female,68
Male,35
Female,29
Male,64
Female,62
Male,34
Female,43
Female,30
Female,57
Male,45
Female,37
NA,NA
Female,62
Female,41
Male,89
Male,46
Female,53
Female,45
Female,73
Male,NA
Male,85
Female,60
Female,36
Female,33
Male,69
Male,70
Male,52
Male,37
Female,50
Female,NA
Female,49
Male,66
Male,63
Female,67
Female,NA
Male,41
Male,44
Male,64
Female,80
Male,51
Male,71
Female,40
Male,48
Male,27
Male,39
Male,44
Female,25
Female,37
Female,55
Male,NA
Male,81
Female,46
Male,71
Female,66
Male,71
Male,NA
Male,56
Female,23
Male,49
Male,74
Male,63
Male,30
Female,27
Female,47
Female,69
Female,31
NA,NA
Male,60
Male,NA
Male,55
Female,47
Female,38
Female,NA
Female,71
Female,35
Female,75
Female,NA
Female,60
Female,NA
Female,80
Male,39
Female,NA
Male,61
Male,57
Female,73
Male,53
Female,20
Male,58
Male,61
Female,35
Female,58
Female,55
Female,59
Female,36
Male,31
Female,62
Male,62
Female,40
Female,45
Female,75
Male,74
