gender,age
Female,NA
Male,82
Female,44
Female,62
Male,74
Female,78
Female,36
Male,70
Male,78
Female,65
Female,65
Male,60
Female,NA
Male,70
Male,61
Male,37
Male,70
Female,60
Female,30
Male,30
Male,69
Male,59
Female,NA
Female,66
Female,NA
Male,63
Female,21
Female,65
Female,67
NA,NA
Female,NA
Female,67
Female,81
Female,43
Female,NA
Male,45
Female,42
Female,30
Male,NA
Female,66
Male,57
Male,40
Female,70
Female,79
Female,78
Female,57
Male,62
Female,53
Female,41
Female,69
Female,56
Male,64
Female,60
Male,66
Female,58
Female,62
Male,68
Female,55
Female,NA
Male,78
Female,39
Male,51
Female,75
Female,25
Female,60
Female,50
Female,89
Female,44
Female,63
Male,46
Female,53
Female,34
Female,54
Male,28
Male,35
Male,55
Female,34
Female,72
Male,NA
NA,NA
Male,66
Male,66
NA,52
Male,23
Female,42
Female,27
Female,39
Male,64
Female,32
NA,NA
Male,49
Male,53
Female,40
Female,55
Female,45
Male,81
Male,68
Male,67
Male,24
Female,70
Female,44
Female,70
Female,39
Male,70
Female,41
Male,67
Male,78
Female,NA
Female,54
Male,71
Male,58
Male,67
Male,78
Female,41
Male,42
Female,41
Female,79
Female,59
Female,60
Male,71
Female,NA
Female,55
Male,NA
Male,76
Male,29
Male,31
Female,43
Female,75
Male,37
Female,61
Male,NA
Male,66
Female,48
Male,35
Female,71
Female,57
Female,58
Female,41
Female,77
Male,74
Male,49
Female,53
Female,64
Male,67
Female,85
Female,58
Male,66
Male,62
Female,63
Male,47
Male,NA
Male,63
Female,48
Female,28
Female,33
NA,NA
Female,83
Female,48
Male,62
Female,75
Female,64
Female,33
Female,58
Female,73
Male,21
Female,86
Female,45
Male,72
Female,49
Female,44
Male,NA
Male,44
Female,36
Female,40
Female,51
Male,67
Male,63
Female,70
Male,64
Female,55
Male,59
Female,81
Female,NA
Male,61
Male,56
Female,35
Male,34
Male,71
Female,68
Female,73
Female,49
Male,35
Female,79
Male,20
Male,86
Female,75
Female,62
Male,68
Female,29
Male,69
Female,39
Male,55
Female,24
Female,48
Female,31
NA,30
Male,46
Female,24
Male,70
Male,72
Female,42
Female,28
Male,86
Female,65
Male,24
Male,62
Female,25
Female,52
Male,28
Female,50
Male,70
Male,32
Female,36
Female,42
Male,70
Female,84
Female,42
Male,31
Female,76
Female,NA
Male,79
Male,70
Male,51
Male,23
Male,39
Female,69
Female,59
Female,58
Male,80
Male,68
Female,58
NA,NA
Male,21
Male,44
Male,71
Female,59
Male,20
Female,34
Male,56
Male,35
Female,38
Female,60
Female,42
Female,57
Female,70
Female,57
Male,78
Female,76
Male,72
Female,56
Female,29
Male,59
Female,33
Female,57
Male,35
Male,31
Female,22
Female,62
Female,41
Male,84
Male,36
Female,33
Female,41
Male,19
Male,32
Female,67
Male,53
Male,28
Female,39
Female,25
Male,78
Female,67
Female,72
Male,28
Male,40
Male,80
Male,86
Female,42
Male,60
Male,NA
Male,67
Male,80
Male,58
Female,23
Female,68
Female,41
Female,36
Female,29
Female,56
Male,21
Male,68
Male,68
Male,36
Male,35
Male,59
Female,81
Male,60
Male,NA
Female,40
Female,53
Female,NA
Male,25
Male,67
Female,69
Male,57
Female,NA
Male,38
Male,39
Female,42
Female,85
Female,72
Female,59
Female,83
Male,62
Male,65
Female,73
Male,67
Male,76
Female,33
Male,30
Female,73
Male,63
Female,49
Female,22
NA,NA
Female,50
Male,57
Male,74
Female,61
Male,32
Male,31
Male,56
Female,53
Female,65
Male,34
Male,37
Male,43
Female,NA
Female,61
Female,37
Female,58
Female,29
Male,33
Male,73
Female,71
Male,45
Female,38
Male,63
Female,24
Female,41
Male,75
Female,36
Female,61
Female,81
Transgender,38
Male,40
Female,70
Female,62
Female,44
Female,67
Male,23
Male,63
Female,50
Male,69
Female,50
Female,38
Female,32
Male,36
Female,78
Female,62
Female,60
Female,60
Female,47
Male,60
Female,71
Female,68
Female,NA
Female,18
Female,46
Female,83
Male,75
Transgender,43
Male,NA
Female,65
Female,19
Male,82
Female,52
Male,25
Male,81
Female,57
Female,52
Female,19
Male,58
Male,63
Male,26
Female,46
NA,NA
Male,83
Female,72
Female,44
Male,74
Female,NA
Female,68
Female,47
Female,30
Female,42
Male,22
Female,35
Male,47
Female,NA
Female,32
Male,NA
Male,29
Female,67
Male,57
Male,51
Female,73
Male,44
Female,45
Female,38
Male,35
Female,22
Female,65
Male,30
Female,56
Male,NA
Male,NA
Female,NA
Female,60
Male,57
Female,51
Male,54
Male,61
Female,26
Male,51
Male,84
Female,46
Female,65
Female,79
Male,51
Male,56
Female,56
Male,40
Female,22
NA,NA
Male,23
Female,54
Male,26
Female,58
Female,53
Male,36
Female,57
Female,74
Female,89
Male,76
Male,79
Female,67
Male,38
Male,47
Female,59
Male,48
Male,72
Female,51
Female,59
Male,51
Female,33
Female,40
Female,37
Male,19
Male,51
Male,49
Female,73
Female,74
Male,68
Female,63
Female,30
Female,NA
Male,56
Female,76
Female,80
Male,NA
Male,76
Female,41
Male,31
Male,84
Female,68
Female,30
Female,31
Male,54
Female,78
Male,68
Male,47
Female,41
Male,65
Female,31
Male,NA
Female,NA
Male,21
Female,44
Female,54
Male,46
Male,67
Female,50
Female,58
Female,43
Male,56
Male,53
Female,29
Male,52
Male,73
Male,61
Male,44
Female,46
Male,24
Female,35
Female,53
Female,55
Female,47
Female,63
Female,27
Female,47
Male,80
Female,68
Female,59
Female,67
Male,34
Female,66
NA,26
Male,24
Female,69
Female,NA
Female,NA
Male,65
Male,53
Female,55
Female,72
Female,68
Male,44
Female,28
Female,43
Female,29
Male,31
Female,54
Male,61
Male,69
Male,39
Male,39
Male,59
Female,66
Female,51
Female,32
Female,59
Female,81
Male,67
Female,NA
Male,29
Female,72
Female,50
Male,35
Male,63
NA,NA
Male,NA
Male,61
Female,69
Female,47
Female,46
Male,74
Male,63
Female,34
Male,77
Female,NA
Male,30
Female,58
Male,52
Female,27
Male,52
Male,77
Female,51
Female,23
Female,29
Female,64
Female,47
Male,43
Female,44
Male,72
Male,56
Male,61
Male,67
Female,39
Male,70
Male,39
Female,43
Female,57
Female,69
Male,63
Male,30
Female,46
Female,59
Female,35
Female,61
Female,82
Male,50
Female,47
Female,60
Male,28
Female,30
Male,33
Male,NA
Female,24
Male,68
Female,42
Male,63
Female,37
Female,77
Female,77
Female,61
Male,73
Female,33
Female,30
Female,NA
Male,77
Female,56
Female,35
Female,44
Female,30
Female,70
Male,20
Female,78
Male,29
Female,27
Male,45
Male,24
Male,44
Female,75
Male,59
Female,71
Female,55
Female,29
Female,NA
Male,32
Male,43
Female,42
Female,67
Male,54
Female,44
Male,29
Female,67
Female,74
Female,23
Male,22
Male,38
Male,51
Female,35
Female,40
Female,79
Female,41
Female,43
Male,84
Female,41
Female,42
Male,37
Male,85
Female,56
Male,NA
NA,NA
Female,68
Female,51
Female,47
Male,71
Female,55
Female,41
Female,63
Male,41
Male,40
Male,24
Male,57
Male,44
Female,33
Male,45
Male,53
Female,23
Female,38
Female,59
NA,NA
Male,52
Female,26
Female,57
Male,74
Female,50
Female,82
Male,78
Male,38
Female,64
Female,49
Male,78
Female,85
Male,21
Female,26
Male,65
Female,66
Male,NA
Transgender,36
Female,28
Female,53
Female,44
Female,44
NA,44
Male,39
Male,55
Male,64
Female,71
Male,68
Female,61
Female,79
Male,56
Female,25
Male,57
Female,81
Male,50
Female,67
Female,65
Female,30
Female,69
Female,46
Male,42
Female,83
Male,75
Male,51
Female,58
Male,59
Male,69
Male,31
Female,56
Male,85
Male,60
Female,33
Male,62
Female,26
Female,47
Female,69
Female,41
Female,41
Female,50
Female,32
Male,27
Male,64
Female,78
Male,59
Male,58
Female,52
Female,67
Female,71
Male,NA
Male,19
Male,55
Female,30
Female,73
NA,NA
Female,77
Female,65
Male,69
Male,52
Male,42
Female,NA
Female,89
Male,25
NA,NA
Male,64
Male,61
Male,65
Female,71
Male,75
Male,70
Male,61
Female,49
Female,NA
Female,43
Female,NA
Female,39
Female,NA
Male,75
Male,71
Female,84
Female,80
Female,62
Female,NA
Female,36
Female,61
Female,NA
Female,34
Female,72
Female,67
Female,NA
None of these,64
Male,81
Female,69
Female,63
Female,62
Female,37
Female,43
Male,68
Female,72
Male,76
NA,24
Female,70
Female,74
Male,33
Female,59
Female,28
Female,NA
Male,29
Female,61
Male,31
Female,28
Female,67
Male,56
Male,74
Female,63
Male,77
Male,64
Male,69
Female,58
Male,48
Male,62
Female,37
Female,64
Male,39
Male,70
Female,NA
Male,52
Female,86
NA,NA
Female,78
Female,48
Male,72
Female,70
Male,NA
Female,51
Male,49
None of these,22
Male,55
Female,37
Female,66
Female,39
Female,69
Male,55
Female,28
Male,36
Male,74
Male,63
Female,84
Male,42
Male,52
Male,31
Male,39
Male,65
Male,22
Male,52
Female,62
Female,31
Male,78
Female,75
Male,55
Female,54
Female,27
Female,29
Female,81
Female,70
Male,44
Female,32
Male,52
Male,53
Male,61
Male,19
Female,33
Female,NA
Male,67
Male,55
Female,43
Male,69
Female,24
NA,NA
Male,84
Male,58
Male,73
Female,68
Female,63
Female,75
NA,NA
Male,59
Female,73
Female,68
Female,51
Female,31
Female,62
Male,37
NA,NA
Female,62
Male,62
Female,55
Male,52
Male,27
Male,57
Male,NA
Male,45
Female,55
Female,21
Male,68
Male,71
Male,60
Male,NA
Male,45
None of these,25
Female,61
Male,NA
Female,42
Male,48
Male,74
Female,25
Male,53
Female,69
Female,78
Male,36
Female,57
Female,37
Female,45
Female,38
Male,49
Female,62
Male,74
Female,29
Female,NA
Female,35
Female,29
Female,34
Female,69
Female,74
NA,NA
Male,74
Female,21
Male,57
Male,33
Male,67
Male,53
Female,57
Female,69
Female,67
Male,22
Female,50
Male,57
Male,44
Female,44
Male,37
Female,54
NA,NA
Female,56
Male,34
Female,NA
Female,49
Male,53
Female,47
Female,65
Male,42
Female,31
Female,46
Female,36
Female,53
Female,47
None of these,40
Male,NA
Female,28
Male,36
Female,54
Female,61
Female,23
Female,32
Male,34
Female,41
Male,45
Female,NA
Female,20
Female,61
Female,43
Male,62
Male,45
Female,43
Female,71
Male,37
Male,NA
Male,46
Male,34
Male,66
Male,NA
Male,70
Male,19
Male,27
Male,43
Male,30
Female,38
Female,44
Female,38
Male,69
Female,24
Male,82
Male,51
Male,80
Female,64
Male,46
Male,61
Female,57
Female,33
Female,34
Male,39
Female,72
Male,25
Female,68
Female,45
Male,37
Male,NA
Female,39
Male,50
Female,30
Male,71
Male,66
Female,81
Male,36
Female,35
NA,NA
Female,71
Female,46
Female,66
Male,67
Male,75
Male,29
Male,50
Female,52
Male,66
Female,30
Male,71
Female,80
NA,NA
Male,77
Female,49
Male,48
Male,74
Male,35
Male,67
Female,63
Female,NA
Male,69
Male,40
Male,68
Female,67
NA,NA
Male,37
Female,74
Male,48
Male,NA
Female,85
Female,73
Female,35
Male,71
Female,28
Female,61
Male,63
Male,59
Male,51
Female,72
Male,37
Female,36
Male,30
Female,26
Male,54
Male,42
Female,40
Female,46
Female,44
Female,47
Female,60
Female,30
Female,38
Male,75
Male,NA
Male,75
Female,22
Female,18
Male,67
Male,40
Female,26
Male,44
Male,67
Female,31
Female,42
Male,33
Female,NA
Male,81
Male,77
Male,45
Female,53
Female,34
Female,37
Female,29
Transgender,31
Female,26
Male,48
Female,28
Female,64
Female,NA
Female,74
Female,33
Male,20
NA,NA
Female,64
Female,50
Female,63
Male,63
Female,48
Male,29
Male,NA
Male,53
Female,62
Female,43
Female,33
Male,40
Female,60
Male,NA
Male,71
Female,35
Female,66
Male,47
Female,32
Male,50
Female,25
Male,67
Male,39
Male,45
Male,73
Female,56
Female,45
Male,52
Female,84
Female,68
Male,43
Male,68
Female,60
Female,75
Male,68
Male,34
Male,31
Female,65
Male,79
Male,50
Male,39
Male,44
Female,80
Male,64
Female,45
Male,34
Female,85
Male,43
Male,36
Female,48
Male,50
Male,37
Male,57
Female,51
Male,68
Male,59
Female,65
Male,26
Male,61
Male,59
Female,63
Female,35
Male,54
Male,31
Male,35
Female,26
Male,77
Male,33
Female,25
Male,28
Male,35
Female,32
Female,26
Female,31
Male,38
Male,79
Female,59
Male,30
Male,25
Female,59
Male,33
Female,28
Male,34
Male,79
Female,58
Female,74
Female,24
Male,65
Male,51
Female,38
Female,25
Female,65
Female,28
Female,32
Male,51
Male,44
Male,34
Male,70
Female,NA
Male,76
Male,71
Female,54
Male,NA
Female,30
Male,NA
Female,33
Male,26
Male,47
Female,28
Male,70
Female,64
Male,24
Female,63
Female,33
Male,54
Male,35
Female,30
Female,41
Female,58
Female,57
Female,56
Female,53
Male,28
Female,29
Female,74
Male,33
Male,43
Male,29
Male,60
Female,76
Female,25
Male,28
Male,24
Male,58
Female,38
Female,30
None of these,58
Female,55
Female,38
Male,57
Female,68
Male,34
Male,70
Male,67
Male,75
Male,30
Female,70
Female,29
Female,44
Male,33
Female,39
Male,25
Female,61
Female,65
Female,27
Female,69
Female,81
Female,53
Female,25
Female,28
Male,NA
Male,71
Female,31
Female,21
Female,29
Female,NA
Female,68
Male,48
